16BIT,https://coinmarketcap.com/currencies/16bit/,CannotOpen16BIT
300,https://coinmarketcap.com/currencies/300-token/,CannotOpen300
365,https://coinmarketcap.com/currencies/365coin/,CannotOpen365
ABS,https://coinmarketcap.com/currencies/absolute/,CannotOpenABS
ABT,https://coinmarketcap.com/currencies/arcblock/,CannotOpenABT
ABY,https://coinmarketcap.com/currencies/artbyte/,CannotOpenABY
ACM,https://coinmarketcap.com/currencies/actinium/,CannotOpenACM
AHT,https://coinmarketcap.com/currencies/bowhead/,CannotOpenAHT
AKA,https://coinmarketcap.com/currencies/akroma/,CannotOpenAKA
AMS,https://coinmarketcap.com/currencies/amsterdamcoin/,CannotOpenAMS
ANI,https://coinmarketcap.com/currencies/animecoin/,CannotOpenANI
ANTX,https://coinmarketcap.com/currencies/antimatter/,CannotOpenANTX
AOA,https://coinmarketcap.com/currencies/aurora/,CannotOpenAOA
APOT,https://coinmarketcap.com/currencies/apot/,CannotOpenAPOT
APX,https://coinmarketcap.com/currencies/apx/,CannotOpenAPX
ATMC,https://coinmarketcap.com/currencies/atmcoin/,CannotOpenATMC
AUM,https://coinmarketcap.com/currencies/alexium/,CannotOpenAUM
AUR,https://coinmarketcap.com/currencies/auroracoin/,CannotOpenAUR
AVT,https://coinmarketcap.com/currencies/aventus/,CannotOpenAVT
BAR,https://coinmarketcap.com/currencies/titanium-blockchain/,CannotOpenBAR
BCDT,https://coinmarketcap.com/currencies/blockchain-certified-data-token/,CannotOpenBCDT
BCO,https://coinmarketcap.com/currencies/bridgecoin/,CannotOpenBCO
BDG,https://coinmarketcap.com/currencies/badgercoin/,CannotOpenBDG
BDL,https://coinmarketcap.com/currencies/bitdeal/,CannotOpenBDL
BDSM,https://coinmarketcap.com/currencies/bdsm/,CannotOpenBDSM
BDT,https://coinmarketcap.com/currencies/bitdepositary/,CannotOpenBDT
BECN,https://coinmarketcap.com/currencies/beacon/,CannotOpenBECN
BEL,https://coinmarketcap.com/currencies/bellscoin/,CannotOpenBEL
BEZ,https://coinmarketcap.com/currencies/bezop/,CannotOpenBEZ
BFX,https://coinmarketcap.com/currencies/bfx/,CannotOpenBFX
BITGOLD,https://coinmarketcap.com/currencies/bitgold/,CannotOpenBITGOLD
BIXC,https://coinmarketcap.com/currencies/bixc/,CannotOpenBIXC
BLITZMM,https://coinmarketcap.com/currencies/blitzmm/,CannotOpenBLITZMM
BLK,https://coinmarketcap.com/currencies/blackcoin/,CannotOpenBLK
BMC,https://coinmarketcap.com/currencies/blackmoon/,CannotOpenBMC
BNK,https://coinmarketcap.com/currencies/bankera/,CannotOpenBNK
BQC,https://coinmarketcap.com/currencies/bbqcoin/,CannotOpenBQC
BRAIN,https://coinmarketcap.com/currencies/braincoin/,CannotOpenBRAIN
BRC,https://coinmarketcap.com/currencies/biebercoin/,CannotOpenBRC
BRE,https://coinmarketcap.com/currencies/breakcoin/,CannotOpenBRE
BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,CannotOpenBSV
BTCRED,https://coinmarketcap.com/currencies/bitcoin-red/,CannotOpenBTCRED
BTDX,https://coinmarketcap.com/currencies/bitcloud/,CannotOpenBTDX
BTIOLD,https://coinmarketcap.com/currencies/instant/,CannotOpenBTIOLD
BTL,https://coinmarketcap.com/currencies/bitleu/,CannotOpenBTL
BTN,https://coinmarketcap.com/currencies/bitnewchain/,CannotOpenBTN
BUN,https://coinmarketcap.com/currencies/bunnycoin/,CannotOpenBUN
BZ,https://coinmarketcap.com/currencies/bit-z-token/,CannotOpenBZ
C2C,https://coinmarketcap.com/currencies/c2c-system/,CannotOpenC2C
CARD,https://coinmarketcap.com/currencies/cardstack/,CannotOpenCARD
CCM100,https://coinmarketcap.com/currencies/ccminer/,CannotOpenCCM100
CDX,https://coinmarketcap.com/currencies/cdx-network/,CannotOpenCDX
CETI,https://coinmarketcap.com/currencies/cetuscoin/,CannotOpenCETI
CHAO,https://coinmarketcap.com/currencies/23-skidoo/,CannotOpenCHAO
